Key,en,es,ar,fr
Request token is invalid,Request token is invalid,El token de solicitud no es válido,رمز الطلب غير صالح,Le jeton de demande n'est pas valide
OTP resend success,OTP resend success,Reenvío de OTP exitoso,نجاح إعادة إرسال OTP,Réussite du renvoi de l'OTP
Password reset success,Password reset success,Restablecimiento de contraseña exitoso,تم إعادة تعيين كلمة المرور بنجاح,Réinitialisation du mot de passe réussie
Credentials didn't match,Credentials didn't match,Las credenciales no coincidieron,لم تتطابق بيانات الاعتماد,Les informations d'identification ne correspondent pas
Login Failed! Failed to refresh wallet! Please try again,Login Failed! Failed to refresh wallet! Please try again,¡Error al iniciar sesión! ¡No se pudo actualizar la billetera! Inténtalo de nuevo.,فشل تسجيل الدخول! فشل تحديث المحفظة! يُرجى المحاولة مرة أخرى.,Échec de la connexion ! Impossible d'actualiser le portefeuille ! Veuillez réessayer.
User successfully logged in,User successfully logged in,El usuario ha iniciado sesión correctamente,تم تسجيل دخول المستخدم بنجاح,L'utilisateur s'est connecté avec succès
Registration failed! Please try again,Registration failed! Please try again,¡Error de registro! Inténtalo de nuevo.,فشل التسجيل! يُرجى المحاولة مرة أخرى.,Inscription échouée ! Veuillez réessayer.
Failed to fetch user information. Please try again,Failed to fetch user information. Please try again,No se pudo obtener la información del usuario. Inténtelo de nuevo.,فشل جلب معلومات المستخدم. يُرجى المحاولة مرة أخرى.,Échec de la récupération des informations utilisateur. Veuillez réessayer.
Failed to generate user token! Please try again,Failed to generate user token! Please try again,¡No se pudo generar el token de usuario! Inténtalo de nuevo.,فشل إنشاء رمز المستخدم! يُرجى المحاولة مرة أخرى.,Échec de la génération du jeton utilisateur ! Veuillez réessayer.
Registration Failed! Failed to create wallet! Please try again,Registration Failed! Failed to create wallet! Please try again,¡Error al registrarte! ¡No se pudo crear la billetera! Inténtalo de nuevo.,فشل التسجيل! فشل إنشاء المحفظة! يُرجى المحاولة مرة أخرى.,Échec de l'inscription ! Échec de la création du portefeuille ! Veuillez réessayer.
User successfully registered,User successfully registered,Usuario registrado exitosamente,تم تسجيل المستخدم بنجاح,Utilisateur enregistré avec succès
Failed to fetch data. Please try again,Failed to fetch data. Please try again,No se pudieron obtener los datos. Inténtelo de nuevo.,فشل جلب البيانات. يُرجى المحاولة مرة أخرى.,Échec de la récupération des données. Veuillez réessayer.
Payment gateway fetch successfully!,Payment gateway fetch successfully!,¡La pasarela de pago se obtuvo con éxito!,تم جلب بوابة الدفع بنجاح!,La passerelle de paiement a été récupérée avec succès !
Can't submit manual gateway in automatic link,Can't submit manual gateway in automatic link,No se puede enviar la puerta de enlace manual en el enlace automático,لا يمكن إرسال البوابة اليدوية في الرابط التلقائي,Impossible de soumettre la passerelle manuelle dans le lien automatique
Transaction failed. Record didn't saved properly. Please try again,Transaction failed. Record didn't saved properly. Please try again,La transacción falló. El registro no se guardó correctamente. Inténtalo de nuevo.,فشلت المعاملة. لم يتم حفظ السجل بشكل صحيح. يُرجى المحاولة مرة أخرى.,Échec de la transaction. L'enregistrement n'a pas été correctement sauvegardé. Veuillez réessayer.
Payment process cancel successfully!,Payment process cancel successfully!,¡Proceso de pago cancelado exitosamente!,تم إلغاء عملية الدفع بنجاح!,Le processus de paiement a été annulé avec succès !
Can't get fields. Requested gateway is automatic,Can't get fields. Requested gateway is automatic,No se pueden obtener los campos. La puerta de enlace solicitada es automática.,لا يمكن الحصول على الحقول. البوابة المطلوبة تلقائية.,Impossible d'obtenir les champs. La passerelle demandée est automatique.
This payment gateway is under constructions. Please try with another payment gateway,This payment gateway is under constructions. Please try with another payment gateway,Esta pasarela de pago está en construcción. Inténtalo con otra.,بوابة الدفع هذه قيد الإنشاء. يُرجى المحاولة باستخدام بوابة دفع أخرى.,Cette passerelle de paiement est en construction. Veuillez essayer avec une autre passerelle de paiement.
Payment gateway input fields fetch successfully!,Payment gateway input fields fetch successfully!,¡Los campos de entrada de la pasarela de pago se obtuvieron correctamente!,تم جلب حقول إدخال بوابة الدفع بنجاح!,Les champs de saisie de la passerelle de paiement ont été récupérés avec succès !
Can't submit automatic gateway in manual link,Can't submit automatic gateway in manual link,No se puede enviar la puerta de enlace automática en el enlace manual,لا يمكن إرسال البوابة التلقائية في الرابط اليدوي,Impossible de soumettre la passerelle automatique dans le lien manuel
Selected gateway is invalid,Selected gateway is invalid,La puerta de enlace seleccionada no es válida,البوابة المحددة غير صالحة,La passerelle sélectionnée n'est pas valide
Transaction Failed. Failed to save information. Please try again,Transaction Failed. Failed to save information. Please try again,Transacción fallida. No se pudo guardar la información. Inténtelo de nuevo.,فشلت العملية. تعذّر حفظ المعلومات. يُرجى المحاولة مجددًا.,Échec de la transaction. Échec de l'enregistrement des informations. Veuillez réessayer.
Your wallet is invalid!,Your wallet is invalid!,¡Tu billetera no es válida!,محفظتك غير صالحة!,Votre portefeuille n'est pas valide !
Transaction Success. Please wait for admin confirmation,Transaction Success. Please wait for admin confirmation,Transacción exitosa. Espere la confirmación del administrador.,تمت العملية بنجاح. يُرجى انتظار تأكيد الإدارة.,Transaction réussie. Veuillez attendre la confirmation de l'administrateur.
Request response fetch successfully!,Request response fetch successfully!,¡La solicitud de respuesta se obtuvo exitosamente!,تم جلب طلب الاستجابة بنجاح!,La réponse à la demande a été récupérée avec succès !
Payment gateway response successful,Payment gateway response successful,Respuesta exitosa de la pasarela de pago,استجابة بوابة الدفع ناجحة,Réponse réussie de la passerelle de paiement
User dashboard data fetch successfully!,User dashboard data fetch successfully!,¡Los datos del panel de usuario se obtuvieron con éxito!,تم جلب بيانات لوحة معلومات المستخدم بنجاح!,Les données du tableau de bord utilisateur ont été récupérées avec succès !
Investment plan list fetch successfully!,Investment plan list fetch successfully!,¡La lista de planes de inversión se obtuvo con éxito!,تم جلب قائمة خطة الاستثمار بنجاح!,La liste des plans d'investissement a été récupérée avec succès !
Oops! This plan is no longer available,Oops! This plan is no longer available,¡Ups! Este plan ya no está disponible.,عفواً! هذه الخطة لم تعد متاحة,Oups ! Ce forfait n'est plus disponible.
Oops! Wallet not found!,Oops! Wallet not found!,¡Ups! ¡No se encontró la billetera!,عفواً! لم يتم العثور على المحفظة!,Oups ! Portefeuille introuvable !
Oops! Something went wrong! Please try again,Oops! Something went wrong! Please try again,¡Uy! ¡Algo salió mal! Inténtalo de nuevo.,عفواً! حدث خطأ ما! يُرجى المحاولة مرة أخرى.,Oups ! Un problème est survenu ! Veuillez réessayer.
New Investment Plan Purchase Successfully!,New Investment Plan Purchase Successfully!,¡Nuevo Plan de Inversión Compra realizada con Éxito!,تم شراء خطة الاستثمار الجديدة بنجاح!,Achat réussi du nouveau plan d'investissement !
Investment data fetch successfully!,Investment data fetch successfully!,¡Los datos de inversión se obtuvieron con éxito!,تم جلب بيانات الاستثمار بنجاح!,Les données d'investissement ont été récupérées avec succès !
Investment profit data fetch successfully!,Investment profit data fetch successfully!,¡Los datos sobre ganancias de inversión se obtuvieron con éxito!,تم جلب بيانات أرباح الاستثمار بنجاح!,Les données sur les bénéfices d'investissement ont été récupérées avec succès !
User wallets fetch successfully!,User wallets fetch successfully!,¡Las billeteras de los usuarios se obtuvieron exitosamente!,تم جلب محافظ المستخدمين بنجاح!,Les portefeuilles des utilisateurs ont été récupérés avec succès !
Receiver doesn't exists or Receiver is temporary banned,Receiver doesn't exists or Receiver is temporary banned,El receptor no existe o está bloqueado temporalmente,المستقبل غير موجود أو تم حظر المستقبل مؤقتًا,Le récepteur n'existe pas ou le récepteur est temporairement banni
Receiver wallet not available,Receiver wallet not available,La billetera del receptor no está disponible,محفظة المستلم غير متاحة,Portefeuille du récepteur non disponible
Transaction failed! Something went wrong! Please try again,Transaction failed! Something went wrong! Please try again,¡Transacción fallida! ¡Algo salió mal! Inténtalo de nuevo.,فشلت العملية! حدث خطأ ما! يُرجى المحاولة مرة أخرى.,Transaction échouée ! Un problème est survenu ! Veuillez réessayer.
Profile info fetch successfully!,Profile info fetch successfully!,¡La información del perfil se obtuvo exitosamente!,تم جلب معلومات الملف الشخصي بنجاح!,Les informations du profil ont été récupérées avec succès !
Phone number already exists,Phone number already exists,El número de teléfono ya existe,رقم الهاتف موجود بالفعل,Le numéro de téléphone existe déjà
Profile successfully updated!,Profile successfully updated!,¡Perfil actualizado exitosamente!,تم تحديث الملف الشخصي بنجاح!,Profil mis à jour avec succès !
Current password didn't match,Current password didn't match,La contraseña actual no coincide,كلمة المرور الحالية لا تتطابق,Le mot de passe actuel ne correspond pas
Password successfully updated!,Password successfully updated!,¡Contraseña actualizada exitosamente!,تم تحديث كلمة المرور بنجاح!,Mot de passe mis à jour avec succès !
Logout success!,Logout success!,¡Cierre de sesión exitoso!,تم تسجيل الخروج بنجاح!,Déconnexion réussie !
Splash screen data fetch successfully!,Splash screen data fetch successfully!,¡Los datos de la pantalla de bienvenida se obtuvieron con éxito!,تم جلب بيانات شاشة البداية بنجاح!,Les données de l'écran de démarrage ont été récupérées avec succès !
Onboard screen data fetch successfully!,Onboard screen data fetch successfully!,¡Los datos de la pantalla integrada se obtuvieron con éxito!,تم جلب بيانات الشاشة الموجودة على متن الطائرة بنجاح!,Les données de l'écran embarqué ont été récupérées avec succès !
Transactions fetch successfully!,Transactions fetch successfully!,¡Las transacciones se obtuvieron exitosamente!,تمت المعاملات بنجاح!,Les transactions ont été récupérées avec succès !
Request data fetch successfully!,Request data fetch successfully!,¡La solicitud de obtención de datos se realizó con éxito!,تم جلب طلب البيانات بنجاح!,Demande de récupération de données réussie !
Payment gateway not found!,Payment gateway not found!,¡No se encontró la pasarela de pago!,لم يتم العثور على بوابة الدفع!,Passerelle de paiement non trouvée !
Payment gateway is under maintenance. Please try with another gateway,Payment gateway is under maintenance. Please try with another gateway,La pasarela de pago está en mantenimiento. Inténtalo con otra.,بوابة الدفع قيد الصيانة. يُرجى المحاولة باستخدام بوابة دفع أخرى.,La passerelle de paiement est en maintenance. Veuillez essayer avec une autre passerelle.
Payment gateway input field fetch successfully!,Payment gateway input field fetch successfully!,¡El campo de entrada de la pasarela de pago se obtuvo con éxito!,تم جلب حقل إدخال بوابة الدفع بنجاح!,Le champ de saisie de la passerelle de paiement a été récupéré avec succès !
Service not available!,Service not available!,¡Servicio no disponible!,الخدمة غير متاحة!,Service non disponible !
Gateway isn't available for this transaction,Gateway isn't available for this transaction,La pasarela no está disponible para esta transacción,البوابة غير متاحة لهذه المعاملة,La passerelle n'est pas disponible pour cette transaction
Your wallet balance is insufficient,Your wallet balance is insufficient,El saldo de tu billetera es insuficiente,رصيد محفظتك غير كاف,Le solde de votre portefeuille est insuffisant
Oops! Wallet type not defined,Oops! Wallet type not defined,¡Uy! Tipo de billetera no definido,عفواً! نوع المحفظة غير محدد,Oups ! Type de portefeuille non défini
Language data fetch successfully!,Language data fetch successfully!,¡Los datos de idioma se obtuvieron exitosamente!,تم جلب بيانات اللغة بنجاح!,Les données de langue ont été récupérées avec succès !
WOW,WOW,GUAU,رائع,OUAH
App Name,App Name,Nombre de la aplicación,اسم التطبيق,Nom de l'application
Please Fill Out The Field,Please Fill Out The Field,"Por favor, rellene el campo",الرجاء ملء الحقل,Veuillez remplir le champ
PLEASE CONNECT TO THE INTERNET,PLEASE CONNECT TO THE INTERNET,POR FAVOR CONÉCTESE A INTERNET,الرجاء الاتصال بالإنترنت,VEUILLEZ VOUS CONNECTER À INTERNET
Sign In,Sign In,Iniciar sesión,تسجيل الدخول,Se connecter
Sign Up,Sign Up,Inscribirse,اشتراك,S'inscrire
Password,Password,Contraseña,كلمة المرور,Mot de passe
Old Password,Old Password,Contraseña anterior,كلمة المرور القديمة,Ancien mot de passe
Enter Password,Enter Password,Introducir contraseña,أدخل كلمة المرور,Entrez le mot de passe
Forget Password,Forget Password,Olvidé mi contraseña,نسيت كلمة المرور,Mot de passe oublié
Get Started,Get Started,Empezar,البدء,Commencer
Email Address,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني,Adresse email
Enter Email Address,Enter Email Address,Introduzca su dirección de correo electrónico,أدخل عنوان البريد الإلكتروني,Entrez l'adresse e-mail
Enter The OTP Code Sent to,Enter The OTP Code Sent to,Introduzca el código OTP enviado a,أدخل رمز OTP المرسل إلى,Entrez le code OTP envoyé à
Verified Code,Verified Code,Código verificado,الرمز المُتحقق,Code vérifié
Submit,Submit,Entregar,يُقدِّم,Soumettre
OTP Verification,OTP Verification,Verificación de OTP,التحقق من OTP,Vérification OTP
Two Fa OTP Verification,Two Fa OTP Verification,Verificación OTP de dos Fa,التحقق من OTP باستخدام رقمين,Vérification OTP à deux Fa
Email Verification,Email Verification,Verificación de correo electrónico,التحقق من البريد الإلكتروني,Vérification de l'e-mail
New Password,New Password,Nueva contraseña,كلمة المرور الجديدة,Nouveau mot de passe
Confirm Password,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور,Confirmez le mot de passe
Enter,Enter,Ingresar,يدخل,Entrer
Reset Password,Reset Password,Restablecer contraseña,إعادة تعيين كلمة المرور,Réinitialiser le mot de passe
Congratulations!!,Congratulations!!,¡¡Felicidades!!,مبروك!!,Félicitations!!
Create Account,Create Account,Crear una cuenta,إنشاء حساب,Créer un compte
First Name,First Name,Nombre de pila,الاسم الأول,Prénom
Last Name,Last Name,Apellido,اسم العائلة,Nom de famille
Okay,Okay,Bueno,تمام,D'accord
TRANSFER,TRANSFER,TRANSFERIR,تحويل,TRANSFERT
Exchange,Exchange,Intercambio,تبادل,Échange
Request,Request,Pedido,طلب,Demande
Recent Transaction,Recent Transaction,Transacción reciente,المعاملات الأخيرة,Transaction récente
My Invoice,My Invoice,Mi factura,فاتورتي,Ma facture
My Voucher,My Voucher,Mi cupón,قسيمتي,Mon bon
Transaction Log,Transaction Log,Registro de transacciones,سجل المعاملات,Journal des transactions
2FA Security,2FA Security,Seguridad 2FA,أمان المصادقة الثنائية,Sécurité 2FA
Change Password,Change Password,Cambiar la contraseña,تغيير كلمة المرور,Changer le mot de passe
Help Center,Help Center,Centro de ayuda,مركز المساعدة,Centre d'aide
Privacy & Policy,Privacy & Policy,Política de privacidad,سياسة الخصوصية,Politique de confidentialité
About Us,About Us,Sobre nosotros,معلومات عنا,À propos de nous
Sign Out,Sign Out,Desconectar,تسجيل الخروج,Se déconnecter
Amount,Amount,Cantidad,كمية,Montant
Preview Screen,Preview Screen,Pantalla de vista previa,شاشة المعاينة,Écran d'aperçu
Preview,Preview,Avance,معاينة,Aperçu
Exchange Rate,Exchange Rate,Tipo de cambio,سعر الصرف,Taux de change
Total Fees & Charges,Total Fees & Charges,Tarifas y cargos totales,إجمالي الرسوم والتكاليف,Total des frais et charges
Will Get,Will Get,Lo conseguiré,سوف تحصل,Obtiendra
Total Payable Ammount,Total Payable Ammount,Monto total a pagar,إجمالي المبلغ المستحق,Montant total à payer
Confirm,Confirm,Confirmar,يتأكد,Confirmer
Money Exchange,Money Exchange,Cambio de dinero,صرافة العملات,Bureau de change
From,From,De,من,Depuis
To,To,A,ل,À
Request Money,Request Money,Solicitar dinero,طلب المال,Demande d'argent
Remarks,Remarks,Observaciones,ملاحظات,Remarques
Optional,Optional,Opcional,خياري,Facultatif
Share Request Money,Share Request Money,Compartir Solicitar Dinero,طلب مشاركة المال,Partager Demande d'argent
Share,Share,Compartir,يشارك,Partager
Available Balance,Available Balance,Saldo disponible,الرصيد المتاح,Solde disponible
Receiver,Receiver,Receptor,المتلقي,Récepteur
Profile,Profile,Perfil,حساب تعريفي,Profil
Full Name,Full Name,Nombre completo,الاسم الكامل,Nom et prénom
Country,Country,País,دولة,Pays
Mobile Number,Mobile Number,Número de teléfono móvil,رقم الهاتف المحمول,Numéro de portable
State,State,Estado,ولاية,État
City,City,Ciudad,مدينة,Ville
Zip Code,Zip Code,Código postal,الرمز البريدي,Code postal
Address,Address,DIRECCIÓN,عنوان,Adresse
Update,Update,Actualizar,تحديث,Mise à jour
Paid,Paid,Pagado,مدفوع,Payé
Sent,Sent,Enviado,مرسل,Envoyé
UnPaid,UnPaid,No pagado,غير مدفوع,Non rémunéré
Invoice Number,Invoice Number,Número de factura,رقم الفاتورة,Numéro de facture
Invoice Date,Invoice Date,Fecha de factura,تاريخ الفاتورة,Date de la facture
Currency,Currency,Divisa,عملة,Devise
Pick Goods,Pick Goods,Recoger mercancías,اختيار البضائع,Choisir des marchandises
Trick Goods,Trick Goods,Artículos de truco,سلع الخدع,Articles de luxe
From/,From/,De/,من/,Depuis/
Total Bill,Total Bill,Factura total,إجمالي الفاتورة,Facture totale
Create Invoice,Create Invoice,Crear factura,إنشاء فاتورة,Créer une facture
Invoice To,Invoice To,Factura a,الفاتورة إلى,Facture à
Billing Address,Billing Address,Dirección de Envio,عنوان الفاتورة,adresse de facturation
Notes,Notes,Notas,ملحوظات,Notes
Item Details,Item Details,Detalles del artículo,تفاصيل العنصر,Détails de l'article
Client Name,Client Name,Nombre del cliente,اسم العميل,Nom du client
Add New,Add New,Agregar nuevo,إضافة جديد,Ajouter un nouveau
Item Name,Item Name,Nombre del artículo,اسم العنصر,Nom de l'article
Voucher,Voucher,Vale,قسيمة,Bon
Redeem,Redeem,Canjear,يسترد,Racheter
Used,Used,Usado,مستخدم,Utilisé
Not Used,Not Used,No utilizado,غير مستخدم,Non utilisé
Name,Name,Nombre,اسم,Nom
Phone,Phone,Teléfono,هاتف,Téléphone
Fees & Charge,Fees & Charge,Tarifas y cargos,الرسوم والتكاليف,Frais et charges
Code,Code,Código,شفرة,Code
Create Voucher,Create Voucher,Crear cupón,إنشاء قسيمة,Créer un bon
Confirm Redeem,Confirm Redeem,Confirmar canje,تأكيد الاسترداد,Confirmer l'échange
Redeem Code,Redeem Code,Canjear código,استرداد الرمز,Utiliser le code
Add Money Log,Add Money Log,Agregar registro de dinero,إضافة سجل الأموال,Ajouter un journal d'argent
Money Out Log,Money Out Log,Registro de salida de dinero,سجل خروج الأموال,Journal des sorties d'argent
Exchange Log,Exchange Log,Registro de intercambio,سجل التبادل,Journal des échanges
Request Log,Request Log,Registro de solicitudes,سجل الطلبات,Journal des demandes
Back To Home,Back To Home,Volver a casa,العودة إلى الصفحة الرئيسية,Retour à la maison
Send Verification Code,Send Verification Code,Enviar código de verificación,إرسال رمز التحقق,Envoyer le code de vérification
Individual,Individual,Individual,فردي,Individuel
Business,Business,Negocio,عمل,Entreprise
Middle Name,Middle Name,Segundo nombre,الاسم الأوسط,Deuxième prénom
Username,Username,Nombre de usuario,اسم المستخدم,Nom d'utilisateur
Postal Code,Postal Code,Código Postal,رمز بريدي,Code Postal
Company Name,Company Name,nombre de empresa,اسم الشركة,Nom de l'entreprise
Gender,Gender,Género,جنس,Genre
Date of Birth,Date of Birth,Fecha de nacimiento,تاريخ الميلاد,Date de naissance
Nationality,Nationality,Nacionalidad,جنسية,Nationalité
My Receipt,My Receipt,Mi recibo,إيصالي,Mon reçu
Total Exchanged Amount,Total Exchanged Amount,Monto total intercambiado,إجمالي المبلغ المتبادل,Montant total échangé
Converted Amount,Converted Amount,Cantidad convertida,المبلغ المحول,Montant converti
Requested Amount,Requested Amount,Cantidad solicitada,المبلغ المطلوب,Montant demandé
Secure Investment Platform,Secure Investment Platform,Plataforma de inversión segura,منصة استثمار آمنة,Plateforme d'investissement sécurisée
Welcome to CyrpInvest,Welcome to CyrpInvest,Bienvenido a CyrpInvest,مرحباً بكم في CyrpInvest,Bienvenue chez CyrpInvest
By investing money you can easily earn through this system.,By investing money you can easily earn through this system.,Invirtiendo dinero podrás ganar fácilmente a través de este sistema.,من خلال استثمار الأموال يمكنك كسب المال بسهولة من خلال هذا النظام.,"En investissant de l’argent, vous pouvez facilement gagner grâce à ce système."
"Our secure login process ensures the confidentiality of your information. Log in today and stay connected to your finances, anytime and anywhere.","Our secure login process ensures the confidentiality of your information. Log in today and stay connected to your finances, anytime and anywhere.","Nuestro proceso de inicio de sesión seguro garantiza la confidencialidad de su información. Inicie sesión hoy mismo y manténgase al tanto de sus finanzas, en cualquier momento y lugar.",تضمن عملية تسجيل الدخول الآمنة لدينا سرية معلوماتك. سجّل دخولك اليوم وابقَ على اطلاع دائم بأموالك، في أي وقت ومن أي مكان.,"Notre processus de connexion sécurisé garantit la confidentialité de vos informations. Connectez-vous dès aujourd'hui et restez connecté à vos finances, où que vous soyez."
Forgot Password?,Forgot Password?,¿Has olvidado tu contraseña?,هل نسيت كلمة السر؟,Mot de passe oublié?
Forgot Password,Forgot Password,Has olvidado tu contraseña,هل نسيت كلمة السر,Mot de passe oublié
Don't have an account?,Don't have an account?,¿No tienes una cuenta?,ليس لديك حساب؟,Vous n'avez pas de compte ?
Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps.,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps.,Toma el control de tu cuenta restableciendo tu contraseña. Nuestra página de recuperación de contraseña te guiará por los pasos necesarios.,تحكّم بحسابك بإعادة تعيين كلمة مرورك. صفحة استعادة كلمة المرور لدينا ترشدك إلى الخطوات اللازمة.,Reprenez le contrôle de votre compte en réinitialisant votre mot de passe. Notre page de récupération de mot de passe vous guidera à travers les étapes nécessaires.
We sent a 6-digit code to your email,We sent a 6-digit code to your email,Enviamos un código de 6 dígitos a tu correo electrónico.,لقد أرسلنا لك رمزًا مكونًا من 6 أرقام إلى بريدك الإلكتروني,Nous avons envoyé un code à 6 chiffres à votre adresse e-mail
Enter the google authentication code here,Enter the google authentication code here,Introduzca el código de autenticación de Google aquí,أدخل رمز مصادقة جوجل هنا,Entrez le code d'authentification Google ici
Resend Code,Resend Code,Reenviar código,إعادة إرسال الرمز,Renvoyer le code
didn't get any code?,didn't get any code?,¿No recibiste ningún código?,لم تحصل على أي رمز؟,tu n'as reçu aucun code ?
Your password has been successfully reset. Sign in again now.,Your password has been successfully reset. Sign in again now.,Tu contraseña se ha restablecido correctamente. Inicia sesión de nuevo.,تم إعادة تعيين كلمة مرورك بنجاح. سجّل دخولك الآن.,Votre mot de passe a été réinitialisé avec succès. Connectez-vous à nouveau.
Enter New Password,Enter New Password,Introducir nueva contraseña,أدخل كلمة المرور الجديدة,Entrez un nouveau mot de passe
Enter Confirm Password,Enter Confirm Password,Ingresar Confirmar contraseña,أدخل تأكيد كلمة المرور,Entrez le mot de passe de confirmation
Go To Sign In,Go To Sign In,Ir a Iniciar sesión,انتقل إلى تسجيل الدخول,Accéder à la connexion
Go To Dashboard,Go To Dashboard,Ir al panel de control,انتقل إلى لوحة المعلومات,Accéder au tableau de bord
